actual,category,error,file,predict
34.0,case1,-2.0,2-2-Omega-30-Aug-2019,36.0
268.0,case2,,3-1-Omega-21-Aug-2019,
54.0,case1,0.0,20-3-Omega-27-Jun-2019,54.0
61.0,case1,2.0,15-4-Omega-16-Jul-2019,59.0
31.0,case2,23.0,34-2-Omega-28-Aug-2019,8.0
43.0,case1,21.0,30-3-Omega-13-Aug-2019,22.0
44.0,case1,10.0,43-3-Omega-30-Aug-2019,34.0
104.0,case1,0.0,2-2-Omega-25-Jun-2019,104.0
53.0,case1,2.0,16-2-Omega-30-Aug-2019,51.0
44.0,case1,-1.0,12-2-Omega-25-Jun-2019,45.0
111.0,case2,10.0,2-3-Omega-04-Jul-2019,101.0
83.0,case1,38.0,11-3-Omega-04-Jul-2019,45.0
28.0,case1,2.0,10-4-Omega-19-Jun-2019,26.0
70.0,case1,58.0,4-2-Omega-15-Jul-2019,12.0
26.0,case1,3.0,17-4-Omega-30-Aug-2019,23.0
68.0,case1,-2.0,12-3-Omega-30-Aug-2019,70.0
86.0,case1,0.0,12-3-Omega-22-Jul-2019,86.0
227.0,case2,15.0,7-2-Omega-22-Jul-2019,212.0
127.0,case1,7.0,28-3-Omega-22-Jul-2019,120.0
315.0,case1,-1.0,4-1-Omega-15-Jul-2019,316.0
20.0,case1,-3.0,11-3-Omega-21-Aug-2019,23.0
37.0,case2,,24-2-Omega-30-Aug-2019,
217.0,case1,1.0,12-2-Omega-21-Aug-2019,216.0
47.0,case1,-3.0,7-2-Omega-11-Jun-2019,50.0
175.0,case1,2.0,21-2-Omega-19-Jun-2019,173.0
123.0,case1,1.0,4-3-Omega-04-Jul-2019,122.0
99.0,case1,-1.0,5-3-Omega-22-Jul-2019,100.0
37.0,case1,2.0,5-4-Omega-22-Jul-2019,35.0
29.0,case1,5.0,12-4-Omega-15-Jul-2019,24.0
28.0,case2,12.0,9-4-Omega-30-Aug-2019,16.0
19.0,case1,1.0,26-4-Omega-30-Aug-2019,18.0
111.0,case1,0.0,21-3-Omega-25-Jun-2019,111.0
17.0,case1,4.0,23-4-Omega-25-Jun-2019,13.0
18.0,case2,9.0,17-4-Omega-13-Aug-2019,9.0
14.0,case1,-9.0,24-4-Omega-13-Aug-2019,23.0
47.0,case1,2.0,27-4-Omega-25-Jun-2019,45.0
49.0,case1,0.0,16-3-Omega-16-Jul-2019,49.0
101.0,case1,91.0,31-3-Omega-28-Aug-2019,10.0
28.0,case1,2.0,28-4-Omega-22-Jul-2019,26.0
85.0,case1,48.0,8-4-Omega-04-Jul-2019,37.0
40.0,case1,9.0,3-4-Omega-11-Jun-2019,31.0
117.0,case1,16.0,14-2-Omega-28-Aug-2019,101.0
56.0,case1,2.0,32-3-Omega-28-Aug-2019,54.0
19.0,case2,12.0,36-4-Omega-21-Aug-2019,7.0
123.0,case1,49.0,9-4-Omega-25-Jun-2019,74.0
53.0,case2,8.0,30-3-Omega-04-Jul-2019,45.0
247.0,case2,,19-1-Omega-15-Jul-2019,
102.0,case1,3.0,25-2-Omega-28-Aug-2019,99.0
36.0,case1,14.0,6-3-Omega-25-Jun-2019,22.0
26.0,case2,13.0,33-2-Omega-21-Aug-2019,13.0
115.0,case1,54.0,4-2-Omega-16-Jul-2019,61.0
40.0,case1,0.0,13-2-Omega-30-Aug-2019,40.0
40.0,case1,0.0,19-4-Omega-30-Aug-2019,40.0
49.0,case1,20.0,16-3-Omega-11-Jun-2019,29.0
22.0,case1,6.0,16-3-Omega-19-Jun-2019,16.0
27.0,case2,,4-2-Omega-13-Aug-2019,
90.0,case1,2.0,13-3-Omega-15-Jul-2019,88.0
45.0,case1,0.0,3-3-Omega-11-Jun-2019,45.0
42.0,case1,1.0,6-4-Omega-21-Aug-2019,41.0
54.0,case1,4.0,14-3-Omega-16-Jul-2019,50.0
139.0,case2,12.0,14-2-Omega-21-Aug-2019,127.0
107.0,case2,4.0,3-2-Omega-11-Jun-2019,103.0
45.0,case1,-3.0,8-2-Omega-13-Aug-2019,48.0
37.0,case2,21.0,14-3-Omega-28-Aug-2019,16.0
327.0,case1,27.0,14-1-Omega-15-Jul-2019,300.0
227.0,case1,2.0,22-2-Omega-16-Jul-2019,225.0
33.0,case1,26.0,4-4-Omega-22-Jul-2019,7.0
47.0,case1,2.0,19-3-Omega-30-Aug-2019,45.0
37.0,case1,2.0,1-4-Omega-28-Aug-2019,35.0
120.0,case2,,19-2-Omega-13-Aug-2019,
35.0,case1,0.0,3-3-Omega-18-Jul-2019,35.0
223.0,case1,3.0,40-2-Omega-21-Aug-2019,220.0
106.0,case1,63.0,6-2-Omega-11-Jun-2019,43.0
42.0,case1,12.0,30-4-Omega-04-Jul-2019,30.0
93.0,case1,-8.0,17-2-Omega-13-Aug-2019,101.0
28.0,case2,20.0,11-4-Omega-13-Aug-2019,8.0
54.0,case1,2.0,6-2-Omega-25-Jun-2019,52.0
109.0,case1,57.0,36-3-Omega-21-Aug-2019,52.0
245.0,case1,4.0,6-1-Omega-28-Aug-2019,241.0
94.0,case1,16.0,25-3-Omega-19-Jun-2019,78.0
224.0,case1,-2.0,37-1-Omega-21-Aug-2019,226.0
21.0,case2,12.0,43-2-Omega-21-Aug-2019,9.0
37.0,case2,21.0,8-2-Omega-21-Aug-2019,16.0
48.0,case1,32.0,26-3-Omega-30-Aug-2019,16.0
94.0,case1,75.0,34-4-Omega-21-Aug-2019,19.0
46.0,case2,5.0,20-3-Omega-15-Jul-2019,41.0
29.0,case1,2.0,38-4-Omega-30-Aug-2019,27.0
12.0,case1,-1.0,24-3-Omega-30-Aug-2019,13.0
39.0,case1,13.0,28-4-Omega-16-Jul-2019,26.0
18.0,case2,5.0,7-3-Omega-22-Jul-2019,13.0
97.0,case1,-1.0,9-3-Omega-13-Aug-2019,98.0
24.0,case1,2.0,20-4-Omega-15-Jul-2019,22.0
47.0,case1,30.0,17-3-Omega-13-Aug-2019,17.0
11.0,case1,0.0,32-3-Omega-13-Aug-2019,11.0
32.0,case1,2.0,34-3-Omega-21-Aug-2019,30.0
38.0,case2,22.0,3-4-Omega-27-Jun-2019,16.0
67.0,case1,38.0,20-4-Omega-27-Jun-2019,29.0
175.0,case1,30.0,25-2-Omega-21-Aug-2019,145.0
291.0,case1,-2.0,24-1-Omega-28-Aug-2019,293.0
294.0,case2,7.0,6-1-Omega-11-Jun-2019,287.0
86.0,case1,6.0,26-2-Omega-30-Aug-2019,80.0
45.0,case2,28.0,7-3-Omega-11-Jun-2019,17.0
77.0,case1,28.0,16-4-Omega-21-Aug-2019,49.0
49.0,case1,37.0,36-3-Omega-13-Aug-2019,12.0
314.0,case1,20.0,11-1-Omega-21-Aug-2019,294.0
19.0,case1,9.0,13-2-Omega-18-Jul-2019,10.0
42.0,case1,2.0,6-3-Omega-04-Jul-2019,40.0
31.0,case1,3.0,2-3-Omega-15-Jul-2019,28.0
38.0,case1,6.0,24-4-Omega-16-Jul-2019,32.0
28.0,case1,20.0,23-3-Omega-21-Aug-2019,8.0
68.0,case2,60.0,39-3-Omega-21-Aug-2019,8.0
25.0,case1,18.0,2-3-Omega-28-Aug-2019,7.0
38.0,case1,0.0,24-2-Omega-22-Jul-2019,38.0
30.0,case1,2.0,19-3-Omega-13-Aug-2019,28.0
18.0,case2,11.0,39-4-Omega-21-Aug-2019,7.0
38.0,case1,0.0,7-4-Omega-25-Jun-2019,38.0
258.0,case1,-6.0,33-1-Omega-21-Aug-2019,264.0
17.0,case1,4.0,4-4-Omega-13-Aug-2019,13.0
36.0,case1,13.0,31-4-Omega-04-Jul-2019,23.0
33.0,case1,6.0,3-3-Omega-21-Aug-2019,27.0
53.0,case2,,7-4-Omega-04-Jul-2019,
21.0,case1,-6.0,4-3-Omega-13-Aug-2019,27.0
107.0,case1,49.0,4-2-Omega-21-Aug-2019,58.0
29.0,case1,0.0,1-3-Omega-19-Jun-2019,29.0
346.0,case1,0.0,15-1-Omega-04-Jul-2019,346.0
41.0,case1,0.0,23-2-Omega-28-Aug-2019,41.0
26.0,case2,4.0,7-3-Omega-30-Aug-2019,22.0
46.0,case1,-1.0,19-4-Omega-15-Jul-2019,47.0
38.0,case2,,9-2-Omega-21-Aug-2019,
256.0,case1,5.0,20-1-Omega-21-Aug-2019,251.0
143.0,case1,2.0,4-2-Omega-27-Jun-2019,141.0
338.0,case1,15.0,34-1-Omega-13-Aug-2019,323.0
65.0,case1,34.0,12-4-Omega-16-Jul-2019,31.0
10.0,case1,0.0,19-4-Omega-13-Aug-2019,10.0
39.0,case1,31.0,20-2-Omega-21-Aug-2019,8.0
38.0,case2,-2.0,15-4-Omega-22-Jul-2019,40.0
326.0,case1,-3.0,8-1-Omega-21-Aug-2019,329.0
32.0,case1,1.0,2-3-Omega-25-Jun-2019,31.0
25.0,case1,1.0,33-4-Omega-13-Aug-2019,24.0
74.0,case1,1.0,36-2-Omega-30-Aug-2019,73.0
28.0,case1,6.0,3-3-Omega-28-Aug-2019,22.0
31.0,case1,16.0,8-3-Omega-27-Jun-2019,15.0
51.0,case1,1.0,3-4-Omega-28-Aug-2019,50.0
18.0,case1,4.0,7-4-Omega-22-Jul-2019,14.0
34.0,case1,-1.0,32-4-Omega-13-Aug-2019,35.0
109.0,case2,22.0,18-2-Omega-15-Jul-2019,87.0
92.0,case1,11.0,18-2-Omega-28-Aug-2019,81.0
176.0,case2,-2.0,2-2-Omega-11-Jun-2019,178.0
28.0,case1,-5.0,15-3-Omega-30-Aug-2019,33.0
81.0,case1,21.0,4-3-Omega-22-Jul-2019,60.0
44.0,case1,12.0,39-2-Omega-21-Aug-2019,32.0
197.0,case2,2.0,10-3-Omega-04-Jul-2019,195.0
92.0,case1,69.0,28-3-Omega-25-Jun-2019,23.0
11.0,case1,0.0,16-4-Omega-11-Jun-2019,11.0
46.0,case1,15.0,4-4-Omega-30-Aug-2019,31.0
25.0,case1,2.0,24-3-Omega-16-Jul-2019,23.0
30.0,case2,22.0,19-2-Omega-15-Jul-2019,8.0
31.0,case2,9.0,10-3-Omega-30-Aug-2019,22.0
92.0,case1,-3.0,30-2-Omega-13-Aug-2019,95.0
27.0,case1,2.0,27-3-Omega-30-Aug-2019,25.0
23.0,case2,15.0,32-4-Omega-28-Aug-2019,8.0
70.0,case1,3.0,8-3-Omega-18-Jul-2019,67.0
82.0,case1,0.0,1-3-Omega-28-Aug-2019,82.0
45.0,case1,0.0,37-3-Omega-21-Aug-2019,45.0
210.0,case1,-1.0,22-2-Omega-21-Aug-2019,211.0
37.0,case1,2.0,2-4-Omega-15-Jul-2019,35.0
17.0,case2,4.0,12-4-Omega-13-Aug-2019,13.0
47.0,case2,39.0,10-4-Omega-30-Aug-2019,8.0
37.0,case1,5.0,21-3-Omega-15-Jul-2019,32.0
56.0,case1,6.0,15-4-Omega-11-Jun-2019,50.0
72.0,case2,8.0,8-3-Omega-22-Jul-2019,64.0
72.0,case1,26.0,9-4-Omega-16-Jul-2019,46.0
275.0,case1,3.0,10-1-Omega-22-Jul-2019,272.0
84.0,case2,45.0,10-4-Omega-27-Jun-2019,39.0
48.0,case1,2.0,24-2-Omega-13-Aug-2019,46.0
93.0,case1,56.0,3-3-Omega-30-Aug-2019,37.0
39.0,case2,31.0,28-3-Omega-28-Aug-2019,8.0
22.0,case1,2.0,3-3-Omega-13-Aug-2019,20.0
